Region,Holiday_Promotion,Population,Income_Level,Bakery_Count,Demand,Year,Holiday_Season
Mediterranean,0,5055673,1627,2746,16241.170200600838,2014,1
Eastern Anatolia,1,11143831,23050,1745,3879.0326059858876,2015,0
Southeast Anatolia,1,14156748,7219,4516,9514.598039232107,2020,1
Marmara,1,14639124,24109,3746,21924.824294781843,2020,1
Aegean,0,4906935,1676,3771,8099.167638761552,2023,0
Aegean,1,14828709,4354,2858,8389.256884735029,2023,0
Aegean,1,13673700,14140,400,9594.342801615587,2015,0
Central Anatolia,1,8657615,17154,767,6543.712403234975,2014,1
Black Sea,0,5816202,21626,3694,8528.40284266439,2015,0
Marmara,0,2913901,5885,1308,18419.691946079256,2020,1
Eastern Anatolia,1,14047193,8026,164,4534.515302412095,2015,0
Mediterranean,1,3863934,16066,4988,9228.405266602702,2017,0
Southeast Anatolia,1,5442677,18248,784,10937.41491092618,2022,1
Marmara,0,12616899,20383,1154,21701.266983337235,2018,1
Mediterranean,0,14440808,23351,4270,16329.2060776575,2020,1
Southeast Anatolia,1,8220219,20871,3680,9011.716034673354,2020,1
Mediterranean,1,6572874,21688,4247,12194.546500094993,2019,0
Central Anatolia,0,7288232,7128,1635,6917.847776052371,2016,1
Mediterranean,0,7936612,22229,4637,9454.584784653649,2023,0
Black Sea,1,7597196,8235,1164,10762.151951580405,2014,1
Black Sea,1,2475453,2363,834,9820.232047176329,2016,1
Aegean,1,2689226,9731,4461,7947.149674213481,2015,0
Black Sea,0,2986048,22683,3871,9196.999110450924,2020,1
Aegean,0,2185562,3253,4589,11671.25624824595,2018,1
Black Sea,0,3566916,18228,280,9801.712660989777,2018,1
Central Anatolia,0,3790777,8786,4610,4977.837933382143,2021,0
Mediterranean,1,9827646,7726,1670,10048.289745111722,2017,0
Marmara,0,13446718,21940,4288,12910.84964646504,2019,0
Mediterranean,1,13976821,19943,1963,12198.460056396421,2015,0
Aegean,1,8032590,16606,712,14405.953392291447,2016,1
Mediterranean,1,5285930,9372,3021,11776.827698183126,2021,0
Eastern Anatolia,0,6311031,4071,4503,2998.982185201468,2017,0
Aegean,0,8984042,22517,1745,10801.844691635652,2016,1
Southeast Anatolia,1,6162986,4800,901,5617.658975318429,2017,0
Aegean,1,14732966,12377,4706,7240.073583874884,2021,0
Southeast Anatolia,0,2849782,15897,4949,10029.519525572174,2014,1
Southeast Anatolia,1,4713452,5802,107,7718.792949150622,2019,0
Eastern Anatolia,0,13141007,7147,397,4803.633741521691,2018,1
Black Sea,1,12728030,13698,597,11288.09365899197,2016,1
Southeast Anatolia,1,4105600,13291,3208,6362.870379065448,2023,0
Eastern Anatolia,0,14582312,10011,2418,4467.875330166224,2019,0
Central Anatolia,0,13123912,20285,2005,6682.017306945595,2020,1
Marmara,1,1379853,19740,2987,22521.107181963882,2014,1
Eastern Anatolia,1,11992866,4692,4605,4647.410556720037,2015,0
Marmara,0,3892311,1692,701,11782.034493908639,2019,0
Black Sea,1,2353356,20133,1030,7850.600029475074,2017,0
Mediterranean,0,1350793,22488,3899,10693.330109186967,2015,0
Eastern Anatolia,1,10226861,20210,284,6054.4683093731255,2019,0
Central Anatolia,0,5309225,10260,630,7661.039454962955,2022,1
Eastern Anatolia,0,5937705,15016,3417,4872.008127893288,2014,1
Aegean,0,5776031,15344,4044,7248.215585173398,2021,0
Aegean,1,14307035,19763,3461,6816.889057363655,2023,0
Central Anatolia,1,8570635,9245,4267,8068.235018428675,2020,1
Eastern Anatolia,0,14385662,13623,2636,5337.5142089788515,2022,1
Southeast Anatolia,0,9021338,20443,489,5623.222902566008,2019,0
Southeast Anatolia,1,10339541,18429,4022,6542.191074473536,2017,0
Eastern Anatolia,1,5439785,4379,4999,4491.520398526661,2023,0
Black Sea,1,9784080,2080,287,11420.4063288113,2020,1
Eastern Anatolia,0,7192308,15305,987,5594.163348752846,2014,1
Marmara,0,3076951,3100,217,18785.39822011711,2020,1
Central Anatolia,0,10665954,17101,628,5336.826431406461,2021,0
Eastern Anatolia,1,6069136,20613,4752,4496.282714933507,2023,0
Marmara,1,12607656,16654,875,12526.620398914793,2017,0
Marmara,1,13596946,11399,365,25676.150699035163,2014,1
Central Anatolia,1,11326600,18252,1098,5438.78718178834,2021,0
Southeast Anatolia,1,6896692,20183,3811,9820.399326699617,2018,1
Southeast Anatolia,1,1656682,9987,3463,10210.652328471342,2018,1
Central Anatolia,1,3497038,15369,1291,6822.547730080911,2016,1
Eastern Anatolia,1,1146395,2559,1553,4687.93410711849,2021,0
Marmara,0,14487243,7314,3834,20741.72156220983,2016,1
Marmara,1,8389495,17310,1274,27775.779863600386,2022,1
Mediterranean,0,12147066,8604,3660,16365.333975128795,2022,1
Southeast Anatolia,0,3192255,11495,1996,5597.976112436101,2021,0
Marmara,1,7598495,18637,1184,24493.65291596248,2020,1
Aegean,0,14767034,5472,4571,13187.400764589995,2022,1
Eastern Anatolia,0,4575417,16495,2062,3369.9244281121073,2015,0
Mediterranean,1,6693384,10018,4299,12393.763536614748,2019,0
Southeast Anatolia,0,2876615,24926,2293,9306.258324448881,2022,1
Aegean,0,6376182,22961,4929,11963.558654250246,2018,1
Black Sea,1,9306870,9105,694,10040.16521330355,2022,1
Eastern Anatolia,1,4066325,10538,1677,5463.243682584618,2018,1
Eastern Anatolia,1,8884902,15122,833,4813.431812426093,2022,1
Mediterranean,0,1829768,2197,803,12817.255814067956,2014,1
Southeast Anatolia,1,2761068,17125,3260,9194.109497069736,2018,1
Marmara,0,9726166,5297,4820,21011.2983331804,2014,1
Aegean,1,6876764,4574,833,14009.349017206925,2018,1
Marmara,0,14808528,20712,1466,21127.383290542835,2016,1
Central Anatolia,1,2406004,5256,4429,6331.258165694349,2020,1
Eastern Anatolia,1,14533715,10924,2612,4109.11369979046,2023,0
Aegean,1,12399804,9493,3499,8818.1631152164,2017,0
Black Sea,1,1106647,19864,3930,11475.953714854135,2020,1
Black Sea,0,1944269,14189,4598,7569.229285937607,2023,0
Central Anatolia,0,3256792,9484,1786,5614.7193985639105,2020,1
Southeast Anatolia,0,10482824,12738,2326,6030.693857212588,2017,0
Black Sea,0,1359201,12169,4424,10558.246148366068,2022,1
Black Sea,0,4370966,12327,1559,8944.395578886877,2022,1
Southeast Anatolia,1,11746105,12114,4747,7788.145018781959,2021,0
Central Anatolia,1,10408748,22917,2799,5228.031420336853,2019,0
Southeast Anatolia,1,5835279,20476,3923,10909.760938410338,2018,1
Black Sea,0,5544371,24774,3481,7483.818062854731,2021,0
Aegean,0,6259268,24423,2025,7449.797603069009,2021,0
Eastern Anatolia,0,4764170,16569,3575,4006.4702671152468,2015,0
Aegean,1,8619350,8195,4847,15000.661991568666,2022,1
Mediterranean,0,9308164,16548,1495,15140.994996843214,2018,1
Central Anatolia,1,3345136,10658,2274,7276.752632594512,2020,1
Black Sea,0,2094250,4515,2496,8324.450077690622,2014,1
Eastern Anatolia,0,12730976,3060,2419,4972.601725064097,2016,1
Marmara,0,11798389,15298,4774,20726.223613644135,2018,1
Mediterranean,1,2913625,23684,1632,11576.248237961674,2023,0
Southeast Anatolia,1,8330461,14060,592,9064.068416322243,2016,1
Central Anatolia,0,9080743,4162,1902,6707.818642196386,2020,1
Aegean,0,10698267,23161,2922,7719.801720433201,2017,0
Aegean,0,5023937,7441,530,5889.667155480911,2017,0
Marmara,1,3618939,19495,1784,13315.981167098324,2021,0
Southeast Anatolia,0,14877910,4759,362,10134.968516460875,2020,1
Southeast Anatolia,0,8581855,12707,969,8013.205130897891,2020,1
Central Anatolia,0,5030299,21743,2494,4677.719870853929,2017,0
Marmara,0,10168808,13705,4529,24462.749664158815,2014,1
Central Anatolia,0,10870325,13645,1762,6861.713703601848,2014,1
Marmara,0,6752435,6955,4088,11605.296041893802,2021,0
Eastern Anatolia,1,2685869,9061,1722,5436.162906634654,2018,1
Central Anatolia,1,12422462,23779,907,6702.645643219045,2018,1
Marmara,0,3514242,14190,830,26938.376385290758,2022,1
Aegean,1,11321507,7425,4579,9580.443251202829,2021,0
Southeast Anatolia,0,7420009,9892,2679,7025.2844215986115,2019,0
Eastern Anatolia,0,2600747,10999,2400,4036.7653744805184,2019,0
Eastern Anatolia,1,8149536,9358,3475,3839.512476689742,2021,0
Mediterranean,0,4266536,19498,4296,10503.338661098336,2017,0
Mediterranean,1,5002441,9193,900,19808.99758698432,2014,1
Black Sea,1,1842263,17254,1908,12178.310159272816,2020,1
Marmara,1,7661742,15639,2128,19750.11537438674,2022,1
Black Sea,1,5136625,13915,980,7862.796210673539,2023,0
Aegean,1,2052987,10729,735,11090.756665912346,2020,1
Marmara,0,2770129,2541,3053,11296.915952710382,2019,0
